Provinces,category,commodity,year,month,price/unit(KSH)
Central,cereals and tubers,"Maize (white, dry)",2021,3,28.9
Central,cereals and tubers,"Maize (white, dry)",2021,5,33.3
Central,cereals and tubers,"Maize (white, dry)",2021,6,31.1
Central,cereals and tubers,"Maize (white, dry)",2021,7,31.1
Central,cereals and tubers,"Maize (white, dry)",2021,9,31.1
Central,cereals and tubers,"Maize (white, dry)",2022,1,38.9
Central,cereals and tubers,"Maize (white, dry)",2022,2,37.25
Central,cereals and tubers,"Maize (white, dry)",2022,3,33.3
Central,cereals and tubers,"Maize (white, dry)",2022,9,68.9
Central,cereals and tubers,"Maize (white, dry)",2023,1,59.3
Central,cereals and tubers,"Maize (white, dry)",2023,2,66.65
Central,cereals and tubers,"Maize (white, dry)",2023,4,68.9
Central,cereals and tubers,"Maize (white, dry)",2023,7,77.8
Central,cereals and tubers,"Potatoes (Irish, red)",2021,1,28.0
Central,cereals and tubers,"Potatoes (Irish, red)",2021,2,27.98
Central,cereals and tubers,"Potatoes (Irish, red)",2021,3,26.7
Central,cereals and tubers,"Potatoes (Irish, red)",2021,7,26.0
Central,cereals and tubers,"Potatoes (Irish, red)",2021,9,17.36
Central,cereals and tubers,"Potatoes (Irish, red)",2021,11,29.77
Central,cereals and tubers,"Potatoes (Irish, red)",2021,12,30.0
Central,cereals and tubers,"Potatoes (Irish, red)",2022,1,33.12
Central,cereals and tubers,"Potatoes (Irish, red)",2022,2,35.38
Central,cereals and tubers,"Potatoes (Irish, red)",2022,3,42.35
Central,cereals and tubers,"Potatoes (Irish, red)",2022,6,39.76
Central,cereals and tubers,"Potatoes (Irish, red)",2022,7,36.46
Central,cereals and tubers,"Potatoes (Irish, red)",2022,8,36.07
Central,cereals and tubers,"Potatoes (Irish, red)",2022,9,37.32
Central,cereals and tubers,"Potatoes (Irish, red)",2022,10,48.3
Central,cereals and tubers,"Potatoes (Irish, red)",2022,11,50.96
Central,cereals and tubers,"Potatoes (Irish, red)",2023,2,48.8
Central,cereals and tubers,"Potatoes (Irish, red)",2023,4,61.82
Central,cereals and tubers,"Potatoes (Irish, red)",2023,7,36.5
Central,cereals and tubers,Rice (aromatic),2022,2,130.0
Central,cereals and tubers,Rice (aromatic),2022,6,160.0
Central,cereals and tubers,Rice (aromatic),2023,1,180.0
Central,cereals and tubers,Sorghum (white),2021,2,45.0
Central,cereals and tubers,Sorghum (white),2021,3,47.2
Central,cereals and tubers,Sorghum (white),2022,2,88.9
Central,cereals and tubers,Sorghum (white),2022,3,60.0
Central,cereals and tubers,Sorghum (white),2022,6,65.0
